Date,Time (GMT),Highest,MHHW (m),MHW (m),MSL (m),MTL (m),MLW (m),MLLW (m),Lowest (m),Inf
01-01-00,00:00,0.624,0.39,0.379,0.178,0.171,-0.038,-0.111,-0.422,0
01-02-00,00:00,0.657,0.379,0.345,0.197,0.169,-0.008,-0.064,-0.277,0
01-03-00,00:00,0.737,0.489,0.468,0.296,0.292,0.116,0.047,-0.1,0
01-04-00,00:00,0.653,0.471,0.445,0.279,0.285,0.124,0.03,-0.187,0
01-05-00,00:00,0.726,0.553,0.519,0.335,0.326,0.132,0.073,-0.141,0
01-06-00,00:00,0.609,0.495,0.479,0.281,0.259,0.038,0.005,-0.228,0
01-07-00,00:00,0.622,0.422,0.404,0.209,0.179,-0.045,-0.095,-0.263,0
01-08-00,00:00,0.586,0.425,0.401,0.248,0.224,0.048,-0.019,-0.226,0
01-09-00,00:00,0.694,0.531,0.486,0.34,0.33,0.174,0.116,-0.118,0
01-10-00,00:00,0.729,0.631,0.612,0.431,0.431,0.25,0.172,-0.001,0
01-11-00,00:00,0.843,0.574,0.531,0.357,0.336,0.141,0.077,-0.298,0
01-12-00,00:00,0.715,0.387,0.351,0.169,0.132,-0.087,-0.131,-0.308,0
01-01-01,00:00,0.559,0.279,0.259,0.08,0.076,-0.107,-0.174,-0.492,0
01-02-01,00:00,0.519,0.331,0.328,0.14,0.141,-0.046,-0.104,-0.429,0
01-03-01,00:00,0.669,0.388,0.354,0.188,0.18,0.006,-0.065,-0.472,0
01-04-01,00:00,0.744,0.539,0.499,0.328,0.315,0.13,0.072,-0.097,0
01-05-01,00:00,0.8,0.531,0.504,0.311,0.309,0.113,0.052,-0.24,0
01-06-01,00:00,0.734,0.429,0.404,0.214,0.189,-0.027,-0.07,-0.335,0
01-07-01,00:00,0.585,0.418,0.394,0.212,0.189,-0.015,-0.082,-0.309,0
01-08-01,00:00,0.622,0.478,0.466,0.273,0.272,0.077,-0.014,-0.272,0
01-09-01,00:00,0.753,0.548,0.503,0.361,0.335,0.167,0.102,-0.057,0
01-10-01,00:00,0.9,0.672,0.626,0.471,0.463,0.299,0.227,0.006,0
01-11-01,00:00,0.892,0.635,0.613,0.411,0.39,0.167,0.125,-0.167,0
01-12-01,00:00,0.816,0.525,0.499,0.285,0.256,0.014,-0.028,-0.255,0
01-01-02,00:00,0.617,0.366,0.339,0.152,0.113,-0.113,-0.155,-0.448,0
01-02-02,00:00,0.634,0.392,0.369,0.197,0.173,-0.023,-0.075,-0.368,0
01-03-02,00:00,0.88,0.497,0.462,0.294,0.293,0.123,0.025,-0.187,0
01-04-02,00:00,0.7,0.551,0.521,0.331,0.333,0.144,0.057,-0.175,0
01-05-02,00:00,0.79,0.614,0.565,0.368,0.353,0.14,0.061,-0.231,0
01-06-02,00:00,0.78,0.626,0.604,0.403,0.383,0.161,0.119,-0.066,0
01-07-02,00:00,0.817,0.474,0.45,0.274,0.249,0.048,0.009,-0.21,0
01-08-02,00:00,0.778,0.556,0.55,0.365,0.363,0.175,0.102,-0.139,0
01-09-02,00:00,1.158,0.84,0.828,0.622,0.636,0.443,0.348,0.133,0
01-10-02,00:00,0.906,0.739,0.691,0.519,0.503,0.314,0.249,0.11,0
01-11-02,00:00,0.968,0.55,0.546,0.327,0.345,0.143,0.046,-0.352,0
01-12-02,00:00,0.653,0.439,0.414,0.2,0.183,-0.048,-0.114,-0.44,0
01-01-03,00:00,0.555,0.374,0.347,0.135,0.102,-0.144,-0.188,-0.578,0
01-02-03,00:00,0.621,0.446,0.424,0.229,0.211,-0.003,-0.061,-0.337,0
01-03-03,00:00,0.704,0.515,0.496,0.303,0.31,0.123,0.024,-0.329,0
01-04-03,00:00,0.658,0.46,0.439,0.256,0.245,0.051,0.004,-0.225,0
01-05-03,00:00,0.682,0.53,0.493,0.295,0.277,0.06,0.005,-0.359,0
01-06-03,00:00,0.733,0.502,0.488,0.254,0.226,-0.036,-0.063,-0.344,0
01-07-03,00:00,1.333,0.552,0.532,0.32,0.309,0.086,0.013,-0.226,0
01-08-03,00:00,0.958,0.515,0.5,0.302,0.307,0.114,0.023,-0.302,0
01-09-03,00:00,1.008,0.744,0.705,0.527,0.511,0.317,0.252,-0.006,0
01-10-03,00:00,1.101,0.785,0.731,0.548,0.526,0.321,0.25,-0.061,0
01-11-03,00:00,0.895,0.689,0.655,0.458,0.426,0.198,0.158,-0.246,0
01-12-03,00:00,0.721,0.482,0.448,0.256,0.217,-0.015,-0.047,-0.424,0
01-01-04,00:00,0.751,0.516,0.49,0.297,0.259,0.028,-0.008,-0.464,0
01-02-04,00:00,0.848,0.497,0.47,0.273,0.261,0.051,-0.044,-0.455,0
01-03-04,00:00,0.754,0.531,0.489,0.316,0.292,0.094,0.037,-0.118,0
01-04-04,00:00,0.733,0.507,0.456,0.277,0.258,0.06,0.001,-0.27,0
01-05-04,00:00,0.772,0.618,0.585,0.387,0.376,0.167,0.104,-0.231,0
01-06-04,00:00,0.744,0.553,0.529,0.312,0.285,0.041,-0.001,-0.277,0
01-07-04,00:00,0.656,0.464,0.446,0.23,0.195,-0.056,-0.092,-0.313,0
01-08-04,00:00,0.625,0.494,0.462,0.28,0.264,0.065,-0.018,-0.225,0
01-09-04,00:00,1.154,0.69,0.662,0.489,0.473,0.283,0.219,-0.034,0
01-10-04,00:00,0.931,0.68,0.655,0.454,0.442,0.229,0.171,-0.137,0
01-11-04,00:00,1.058,0.658,0.632,0.412,0.39,0.147,0.104,-0.193,0
01-12-04,00:00,0.657,0.512,0.492,0.259,0.231,-0.031,-0.057,-0.535,0
01-01-05,00:00,0.706,0.547,0.53,0.327,0.308,0.085,0.036,-0.271,0
01-02-05,00:00,0.895,0.632,0.607,0.413,0.404,0.2,0.123,-0.152,0
01-03-05,00:00,0.704,0.504,0.457,0.279,0.261,0.064,-0.015,-0.173,0
01-04-05,00:00,0.754,0.509,0.47,0.266,0.249,0.028,-0.022,-0.317,0
01-05-05,00:00,0.733,0.592,0.568,0.345,0.346,0.123,0.052,-0.3,0
01-06-05,00:00,0.819,0.647,0.623,0.414,0.388,0.153,0.112,-0.139,0
01-07-05,00:00,1.294,0.596,0.582,0.372,0.346,0.109,0.059,-0.212,0
01-08-05,00:00,0.905,0.522,0.482,0.301,0.276,0.07,0.002,-0.216,0
01-09-05,00:00,1.499,0.734,0.689,0.513,0.488,0.287,0.226,0.012,0
01-10-05,00:00,1.074,0.727,0.682,0.511,0.498,0.313,0.243,0.013,0
01-11-05,00:00,0.772,0.534,0.516,0.291,0.274,0.032,-0.014,-0.22,0
01-12-05,00:00,0.811,0.485,0.48,0.222,0.193,-0.094,-0.119,-0.443,0
01-01-06,00:00,0.558,0.316,0.298,0.084,0.038,-0.222,-0.254,-0.436,0
01-02-06,00:00,0.657,0.379,0.369,0.17,0.169,-0.031,-0.108,-0.388,0
01-03-06,00:00,0.685,0.513,0.47,0.294,0.287,0.103,0.011,-0.206,0
01-04-06,00:00,0.705,0.511,0.481,0.278,0.261,0.041,-0.019,-0.177,0
01-05-06,00:00,0.678,0.534,0.514,0.285,0.258,0.001,-0.035,-0.26,0
01-06-06,00:00,0.631,0.496,0.479,0.26,0.237,-0.005,-0.043,-0.297,0
01-07-06,00:00,0.641,0.459,0.428,0.24,0.223,0.018,-0.046,-0.251,0
01-08-06,00:00,0.632,0.476,0.448,0.269,0.248,0.047,-0.024,-0.182,0
01-09-06,00:00,0.692,0.594,0.561,0.372,0.363,0.165,0.072,-0.075,0
01-10-06,00:00,1.033,0.704,0.678,0.469,0.46,0.241,0.167,-0.217,0
01-11-06,00:00,0.962,0.57,0.516,0.341,0.314,0.113,0.037,-0.331,0
01-12-06,00:00,0.94,0.524,0.488,0.281,0.24,-0.007,-0.058,-0.31,0
01-01-07,00:00,0.761,0.523,0.495,0.28,0.255,0.014,-0.052,-0.331,0
01-02-07,00:00,0.728,0.421,0.373,0.199,0.163,-0.048,-0.104,-0.379,0
01-03-07,00:00,0.673,0.495,0.461,0.288,0.279,0.097,0.025,-0.109,0
01-04-07,00:00,0.816,0.619,0.575,0.404,0.387,0.198,0.12,-0.262,0
01-05-07,00:00,0.86,0.705,0.667,0.456,0.434,0.2,0.149,-0.167,0
01-06-07,00:00,0.906,0.615,0.589,0.361,0.339,0.089,0.046,-0.26,0
01-07-07,00:00,0.748,0.552,0.534,0.316,0.296,0.057,-0.002,-0.286,0
01-08-07,00:00,0.814,0.586,0.562,0.387,0.38,0.198,0.11,-0.225,0
01-09-07,00:00,0.942,0.714,0.693,0.497,0.508,0.322,0.205,-0.072,0
01-10-07,00:00,0.963,0.821,0.788,0.575,0.556,0.323,0.261,-0.204,0
01-11-07,00:00,0.984,0.628,0.6,0.383,0.36,0.12,0.067,-0.308,0
01-12-07,00:00,0.672,0.503,0.479,0.274,0.246,0.012,-0.044,-0.425,0
01-01-08,00:00,0.924,0.575,0.555,0.352,0.319,0.082,0.041,-0.224,0
01-02-08,00:00,0.747,0.492,0.469,0.269,0.257,0.045,-0.034,-0.202,0
01-03-08,00:00,0.787,0.472,0.423,0.238,0.218,0.012,-0.047,-0.285,0
01-04-08,00:00,0.876,0.601,0.568,0.375,0.351,0.133,0.097,-0.02,0
01-05-08,00:00,0.871,0.655,0.62,0.41,0.4,0.18,0.125,-0.195,0
01-06-08,00:00,0.808,0.58,0.566,0.343,0.307,0.047,0.021,-0.228,0
01-07-08,00:00,1.088,0.616,0.609,0.376,0.338,0.067,0.043,-0.196,0
01-08-08,00:00,0.576,0.476,0.464,0.259,0.246,0.028,-0.053,-0.266,0
01-09-08,00:00,1.72,0.835,0.768,0.609,0.572,0.375,0.336,0.119,0
01-10-08,00:00,1.013,0.78,0.761,0.554,0.554,0.346,0.259,0.014,0
01-11-08,00:00,0.995,0.648,0.632,0.411,0.388,0.143,0.107,-0.251,0
01-12-08,00:00,0.83,0.502,0.491,0.259,0.224,-0.043,-0.063,-0.596,0
01-01-09,00:00,0.572,0.404,0.38,0.184,0.176,-0.029,-0.113,-0.408,0
01-02-09,00:00,0.581,0.45,0.434,0.247,0.241,0.048,-0.037,-0.369,0
01-03-09,00:00,0.768,0.528,0.516,0.313,0.317,0.118,0.016,-0.281,0
01-04-09,00:00,0.787,0.551,0.479,0.311,0.263,0.048,0.018,-0.198,0
01-05-09,00:00,0.886,0.603,0.58,0.374,0.359,0.137,0.092,-0.164,0
01-06-09,00:00,0.743,0.536,0.505,0.31,0.279,0.052,0.007,-0.202,0
01-07-09,00:00,0.79,0.482,0.453,0.254,0.224,-0.006,-0.055,-0.248,0
01-08-09,00:00,0.74,0.559,0.542,0.349,0.347,0.151,0.063,-0.134,0
01-09-09,00:00,0.915,0.703,0.654,0.494,0.474,0.293,0.212,0.006,0
01-10-09,00:00,0.916,0.727,0.68,0.511,0.494,0.307,0.228,-0.109,0
01-11-09,00:00,1.136,0.768,0.752,0.528,0.508,0.264,0.228,-0.126,0
01-12-09,00:00,0.949,0.643,0.616,0.407,0.358,0.1,0.08,-0.325,0
01-01-10,00:00,0.881,0.499,0.474,0.256,0.247,0.019,-0.071,-0.347,0
01-02-10,00:00,0.876,0.551,0.529,0.322,0.318,0.106,0.013,-0.208,0
01-03-10,00:00,0.683,0.414,0.364,0.192,0.177,-0.01,-0.082,-0.492,0
01-04-10,00:00,0.762,0.554,0.518,0.336,0.314,0.11,0.06,-0.207,0
01-05-10,00:00,0.84,0.646,0.611,0.416,0.389,0.167,0.119,-0.074,0
01-06-10,00:00,1.28,0.617,0.586,0.391,0.364,0.142,0.085,-0.111,0
01-07-10,00:00,1.222,0.733,0.681,0.542,0.493,0.304,0.278,-0.038,0
01-08-10,00:00,0.729,0.58,0.564,0.387,0.385,0.205,0.135,-0.091,0
01-09-10,00:00,1.232,0.839,0.823,0.628,0.622,0.421,0.355,0.004,0
01-10-10,00:00,0.768,0.623,0.601,0.419,0.41,0.22,0.156,-0.082,0
01-11-10,00:00,0.821,0.591,0.56,0.378,0.365,0.169,0.103,-0.208,0
01-12-10,00:00,0.679,0.457,0.42,0.228,0.187,-0.046,-0.087,-0.313,0
01-01-11,00:00,0.658,0.457,0.432,0.234,0.223,0.013,-0.067,-0.326,0
01-02-11,00:00,0.502,0.353,0.333,0.153,0.138,-0.057,-0.124,-0.34,0
01-03-11,00:00,0.643,0.5,0.481,0.311,0.314,0.146,0.066,-0.173,0
01-04-11,00:00,0.691,0.531,0.498,0.338,0.327,0.157,0.092,-0.185,0
01-05-11,00:00,0.827,0.614,0.599,0.39,0.371,0.142,0.112,-0.096,0
01-06-11,00:00,0.766,0.567,0.55,0.353,0.323,0.095,0.065,-0.17,0
01-07-11,00:00,0.734,0.518,0.496,0.321,0.304,0.113,0.045,-0.168,0
01-08-11,00:00,0.644,0.476,0.454,0.298,0.289,0.124,0.051,-0.107,0
01-09-11,00:00,0.969,0.536,0.505,0.354,0.347,0.189,0.11,-0.113,0
01-10-11,00:00,0.814,0.614,0.593,0.402,0.394,0.195,0.135,-0.175,0
01-11-11,00:00,0.841,0.598,0.574,0.385,0.367,0.159,0.105,-0.302,0
01-12-11,00:00,0.883,0.581,0.542,0.369,0.34,0.138,0.087,-0.179,0
01-01-12,00:00,0.626,0.4,0.373,0.198,0.165,-0.043,-0.088,-0.321,0
01-02-12,00:00,0.656,0.497,0.483,0.312,0.309,0.135,0.053,-0.153,0
01-03-12,00:00,0.743,0.559,0.54,0.368,0.37,0.2,0.124,-0.123,0
01-04-12,00:00,0.754,0.62,0.611,0.415,0.426,0.24,0.17,-0.075,0
01-05-12,00:00,0.809,0.585,0.553,0.375,0.354,0.154,0.112,-0.094,0
01-06-12,00:00,0.854,0.665,0.641,0.446,0.419,0.197,0.16,-0.226,0
01-07-12,00:00,0.816,0.572,0.55,0.371,0.353,0.155,0.087,-0.087,0
01-08-12,00:00,0.736,0.548,0.528,0.375,0.362,0.197,0.119,-0.056,0
01-09-12,00:00,0.749,0.605,0.583,0.432,0.426,0.27,0.211,0.054,0
01-10-12,00:00,0.759,0.599,0.575,0.406,0.403,0.231,0.162,-0.064,0
01-11-12,00:00,0.931,0.62,0.582,0.411,0.374,0.166,0.133,-0.056,0
01-12-12,00:00,0.717,0.525,0.499,0.306,0.281,0.063,0.016,-0.319,0
01-01-13,00:00,0.772,0.438,0.41,0.252,0.221,0.031,-0.028,-0.217,0
01-02-13,00:00,0.741,0.479,0.459,0.31,0.303,0.146,0.067,-0.11,0
01-03-13,00:00,0.791,0.484,0.454,0.303,0.288,0.121,0.06,-0.225,0
01-04-13,00:00,0.819,0.645,0.613,0.449,0.444,0.274,0.187,0.011,0
01-05-13,00:00,0.764,0.607,0.561,0.391,0.379,0.197,0.123,-0.067,0
01-06-13,00:00,0.798,0.562,0.536,0.362,0.348,0.159,0.108,-0.195,0
01-07-13,00:00,0.781,0.535,0.509,0.357,0.316,0.122,0.093,-0.082,0
01-08-13,00:00,0.712,0.546,0.533,0.376,0.37,0.207,0.132,-0.066,0
01-09-13,00:00,0.916,0.722,0.68,0.549,0.535,0.391,0.312,0.164,0
01-10-13,00:00,0.89,0.747,0.714,0.565,0.556,0.398,0.34,0.171,0
01-11-13,00:00,1.017,0.756,0.716,0.556,0.518,0.319,0.283,0.07,0
01-12-13,00:00,0.721,0.538,0.517,0.319,0.31,0.102,0.029,-0.24,0
01-01-14,00:00,0.638,0.423,0.412,0.222,0.212,0.011,-0.064,-0.286,0
01-02-14,00:00,0.517,0.431,0.404,0.26,0.258,0.111,0.008,-0.113,0
01-03-14,00:00,0.696,0.457,0.43,0.288,0.283,0.135,0.045,-0.107,0
01-04-14,00:00,0.729,0.563,0.518,0.369,0.352,0.186,0.134,-0.017,0
01-05-14,00:00,0.792,0.588,0.574,0.375,0.375,0.175,0.113,-0.133,0
01-06-14,00:00,0.778,0.582,0.565,0.383,0.36,0.154,0.114,-0.202,0
01-07-14,00:00,0.553,0.402,0.376,0.226,0.207,0.037,-0.021,-0.208,0
01-08-14,00:00,0.708,0.484,0.474,0.309,0.314,0.154,0.083,-0.192,0
01-09-14,00:00,0.892,0.702,0.672,0.533,0.525,0.377,0.302,0.048,0
01-10-14,00:00,0.839,0.655,0.642,0.472,0.474,0.305,0.228,0.025,0
01-11-14,00:00,0.819,0.632,0.602,0.437,0.437,0.271,0.193,-0.043,0
01-12-14,00:00,0.78,0.592,0.557,0.4,0.378,0.199,0.129,-0.214,0
01-01-15,00:00,0.752,0.476,0.432,0.261,0.234,0.037,-0.021,-0.236,0
01-02-15,00:00,0.665,0.471,0.451,0.293,0.295,0.139,0.037,-0.229,0
01-03-15,00:00,0.576,0.431,0.405,0.267,0.261,0.116,0.04,-0.107,0
01-04-15,00:00,0.797,0.583,0.543,0.393,0.39,0.237,0.172,-0.016,0
01-05-15,00:00,0.866,0.701,0.671,0.496,0.487,0.304,0.251,0.056,0
01-06-15,00:00,1.094,0.6,0.57,0.403,0.376,0.182,0.138,-0.179,0
01-07-15,00:00,0.575,0.47,0.447,0.273,0.247,0.048,0,-0.232,0
01-08-15,00:00,0.682,0.545,0.532,0.358,0.369,0.206,0.104,-0.118,0
01-09-15,00:00,0.934,0.701,0.684,0.51,0.516,0.347,0.271,0.01,0
01-10-15,00:00,1.136,0.819,0.77,0.628,0.612,0.453,0.38,0.11,0
01-11-15,00:00,1.021,0.831,0.804,0.629,0.615,0.426,0.366,0.184,0
01-12-15,00:00,0.898,0.693,0.658,0.484,0.469,0.28,0.209,-0.311,0
01-01-16,00:00,0.843,0.603,0.556,0.401,0.398,0.24,0.142,-0.324,0
01-02-16,00:00,0.697,0.44,0.406,0.268,0.251,0.095,0.018,-0.239,0
01-03-16,00:00,0.999,0.587,0.56,0.396,0.395,0.23,0.149,-0.076,0
01-04-16,00:00,1.002,0.747,0.705,0.549,0.542,0.378,0.305,0.012,0
01-05-16,00:00,0.969,0.757,0.732,0.562,0.56,0.388,0.307,0.047,0
01-06-16,00:00,0.872,0.652,0.61,0.446,0.433,0.255,0.168,-0.08,0
01-07-16,00:00,0.75,0.551,0.528,0.358,0.333,0.139,0.092,-0.155,0
01-08-16,00:00,0.917,0.61,0.602,0.444,0.442,0.282,0.201,-0.017,0
01-09-16,00:00,0.916,0.785,0.758,0.619,0.62,0.481,0.4,0.186,0
01-10-16,00:00,0.953,0.82,0.776,0.635,0.62,0.464,0.411,0.238,0
01-11-16,00:00,0.971,0.798,0.782,0.602,0.583,0.385,0.349,0.058,0
01-12-16,00:00,0.998,0.688,0.667,0.478,0.452,0.237,0.195,-0.132,0
01-01-17,00:00,0.764,0.552,0.524,0.354,0.332,0.14,0.085,-0.273,0
01-02-17,00:00,0.639,0.48,0.458,0.311,0.305,0.152,0.071,-0.156,0
01-03-17,00:00,0.81,0.593,0.571,0.424,0.433,0.295,0.198,0.024,0
01-04-17,00:00,0.975,0.68,0.614,0.476,0.441,0.268,0.232,0.023,0
01-05-17,00:00,1.194,0.688,0.65,0.451,0.441,0.231,0.19,-0.07,0
01-06-17,00:00,1.237,0.732,0.686,0.527,0.498,0.311,0.27,0.069,0
01-07-17,00:00,0.636,0.531,0.511,0.352,0.337,0.163,0.097,-0.139,0
01-08-17,00:00,1.399,0.601,0.575,0.414,0.408,0.241,0.157,-0.062,0
01-09-17,00:00,0.901,0.728,0.703,0.552,0.55,0.396,0.332,0.079,0
01-10-17,00:00,1.196,0.888,0.886,0.702,0.717,0.547,0.466,0.136,0
01-11-17,00:00,0.848,0.685,0.644,0.484,0.469,0.294,0.237,-0.056,0
01-12-17,00:00,0.953,0.575,0.52,0.36,0.325,0.13,0.076,-0.113,0
01-01-18,00:00,0.717,0.457,0.415,0.238,0.196,-0.024,-0.061,-0.277,0
01-02-18,00:00,0.749,0.54,0.515,0.359,0.343,0.17,0.094,-0.176,0
01-03-18,00:00,0.722,0.603,0.582,0.429,0.436,0.29,0.192,0.035,0
01-04-18,00:00,0.841,0.64,0.591,0.442,0.425,0.258,0.202,-0.06,0
01-05-18,00:00,0.72,0.614,0.586,0.405,0.4,0.213,0.147,-0.102,0
01-06-18,00:00,0.777,0.561,0.546,0.341,0.333,0.119,0.064,-0.218,0
01-07-18,00:00,0.678,0.504,0.48,0.309,0.288,0.096,0.039,-0.141,0
01-08-18,00:00,0.767,0.609,0.595,0.438,0.445,0.294,0.214,-0.011,0
01-09-18,00:00,0.966,0.762,0.741,0.578,0.576,0.41,0.335,0.201,0
01-10-18,00:00,1.194,0.902,0.9,0.699,0.721,0.541,0.443,0.043,0
01-11-18,00:00,0.999,0.69,0.655,0.478,0.463,0.271,0.224,-0.033,0
01-12-18,00:00,0.874,0.59,0.555,0.378,0.36,0.164,0.096,-0.375,0
01-01-19,00:00,0.734,0.543,0.52,0.331,0.312,0.104,0.039,-0.421,0
01-02-19,00:00,0.958,0.683,0.66,0.488,0.474,0.288,0.231,-0.042,0
01-03-19,00:00,0.844,0.663,0.636,0.48,0.469,0.302,0.24,-0.007,0
01-04-19,00:00,0.898,0.671,0.644,0.466,0.476,0.307,0.232,-0.051,0
01-05-19,00:00,1.187,0.864,0.82,0.649,0.638,0.456,0.404,0.189,0
01-06-19,00:00,0.888,0.719,0.697,0.486,0.471,0.246,0.202,0.008,0
01-07-19,00:00,0.878,0.657,0.622,0.442,0.413,0.205,0.148,-0.153,0
01-08-19,00:00,0.718,0.581,0.562,0.392,0.385,0.208,0.124,-0.06,0
01-09-19,00:00,1.003,0.824,0.802,0.622,0.638,0.474,0.369,0.072,0
01-10-19,00:00,1.188,0.98,0.911,0.757,0.737,0.564,0.488,0.099,0
01-11-19,00:00,1.039,0.799,0.76,0.579,0.562,0.364,0.301,0.105,0
01-12-19,00:00,1.001,0.64,0.6,0.422,0.391,0.181,0.131,-0.115,0
01-01-20,00:00,0.946,0.642,0.608,0.432,0.407,0.206,0.142,-0.306,0
01-02-20,00:00,0.739,0.563,0.534,0.369,0.367,0.2,0.102,-0.298,0
01-03-20,00:00,0.823,0.666,0.637,0.463,0.463,0.289,0.2,-0.146,0
01-04-20,00:00,1.137,0.842,0.81,0.627,0.614,0.417,0.372,0.192,0
01-05-20,00:00,1.005,0.77,0.725,0.535,0.519,0.313,0.265,0.057,0
01-06-20,00:00,1.046,0.785,0.76,0.563,0.551,0.342,0.277,0.022,0
01-07-20,00:00,2.066,0.674,0.672,0.444,0.426,0.181,0.144,-0.091,0
01-08-20,00:00,1.355,0.66,0.629,0.456,0.426,0.224,0.161,-0.089,0
01-09-20,00:00,1.442,0.884,0.865,0.692,0.695,0.524,0.427,0.177,0
01-10-20,00:00,1.402,0.849,0.791,0.652,0.621,0.451,0.408,0.2,0
01-11-20,00:00,1.054,0.85,0.828,0.622,0.612,0.396,0.338,-0.051,0
01-12-20,00:00,0.821,0.558,0.531,0.319,0.283,0.035,0.005,-0.288,0
